ID_UNI;REGIONE;EDIZIONE;TIPO_ORG;Ambito
114-cheFare 1 (2012);Sicilia;cheFare 1 (2012);Associazione culturale;AGRICOLT, ENOGASTR
115-cheFare 1 (2012);Sicilia;cheFare 1 (2012);Associazione di Promozione Sociale/Consorzio di cooperative sociali;ARTIPLAS, INTEG_SO, TEATRO
116-cheFare 1 (2012);Lombardia;cheFare 1 (2012);S.a.s.;FESTIVAL, PERF_ART, SOCIOLOG
117-cheFare 1 (2012);Liguria;cheFare 1 (2012);S.r.l.;ARCHITET, DESIGN, PEDAGOGI
118-cheFare 1 (2012);Emilia Romagna;cheFare 1 (2012);Altro tipo di organizzazione;ARCHITET
119-cheFare 1 (2012);Lombardia;cheFare 1 (2012);Altro tipo di organizzazione;APP_SOFT, RIV_ONLI
120-cheFare 1 (2012);Puglia;cheFare 1 (2012);Associazione culturale;ARTIPLAS, FORMAZIO, PERF_ART
121-cheFare 1 (2012);Piemonte e Valle dAosta;cheFare 1 (2012);Associazione;PEDAGOGI
122-cheFare 1 (2012);Calabria;cheFare 1 (2012);Associazione culturale;LETTERAT, PEDAGOGI
123-cheFare 1 (2012);Lombardia;cheFare 1 (2012);S.r.l.;ARTIPLAS, INTEG_SO, LETTERAT
124-cheFare 1 (2012);Piemonte e Valle dAosta;cheFare 1 (2012);Associazione;PERF_ART, TEATRO
125-cheFare 1 (2012);Veneto;cheFare 1 (2012);Associazione;AGRICOLT, INTEG_SO
126-cheFare 1 (2012);Toscana;cheFare 1 (2012);Associazione culturale;COWORKIN, WEB, TURISMO
127-cheFare 1 (2012);Piemonte e Valle dAosta;cheFare 1 (2012);Società cooperativa;SOCIALNE, SOCIOLOG, VIDEO
128-cheFare 1 (2012);Lazio;cheFare 1 (2012);Associazione;MUSICA, TEATRO
129-cheFare 1 (2012);Lombardia;cheFare 1 (2012);Associazione;EDITORIA, PEDAGOGI, WEB
130-cheFare 1 (2012);Puglia;cheFare 1 (2012);Associazione culturale;ARTIPLAS, FORMAZIO, MUSICA
131-cheFare 1 (2012);Lazio;cheFare 1 (2012);Associazione di Promozione Sociale/Consorzio di cooperative sociali;WEB, TURISMO
132-cheFare 1 (2012);Puglia;cheFare 1 (2012);Associazione culturale;WEB
133-cheFare 1 (2012);Campania;cheFare 1 (2012);Associazione;CONCORSO, EDITORIA, WEB
134-cheFare 1 (2012);Non rilevabile;cheFare 1 (2012);Associazione;VIDEO, WEB
135-cheFare 1 (2012);Lazio;cheFare 1 (2012);Associazione;MUSICA, SOCIALNE, VIDEO
136-cheFare 1 (2012);Non rilevabile;cheFare 1 (2012);Associazione culturale;PERF_ART, VIDEO, WEB
137-cheFare 1 (2012);Piemonte e Valle dAosta;cheFare 1 (2012);Associazione culturale;FESTIVAL, WEB
138-cheFare 1 (2012);Lazio;cheFare 1 (2012);S.s.r.l.;EDITORIA, RIV_ONLI, VIDEO
139-cheFare 1 (2012);Veneto;cheFare 1 (2012);S.r.l.;AGRICOLT, COMMERCI, SOCIALNE
140-cheFare 1 (2012);Umbria;cheFare 1 (2012);Associazione di Promozione Sociale/Consorzio di cooperative sociali;FORMAZIO, INTEG_SO
141-cheFare 1 (2012);Emilia Romagna;cheFare 1 (2012);Associazione di Promozione Sociale/Consorzio di cooperative sociali;MUSICA, VIDEO, WEB
142-cheFare 1 (2012);Piemonte e Valle dAosta;cheFare 1 (2012);Associazione culturale;SOCIOLOG, TEATRO
143-cheFare 1 (2012);Friuli Venezia Giulia;cheFare 1 (2012);S.r.l.;RIV_ONLI, SOCIOLOG, VIDEO
144-cheFare 1 (2012);Emilia Romagna;cheFare 1 (2012);Associazione di Promozione Sociale/Consorzio di cooperative sociali;ENOGASTR, FUNDRAIS
145-cheFare 1 (2012);Sardegna;cheFare 1 (2012);Altro tipo di organizzazione;FORMAZIO, PEDAGOGI
146-cheFare 1 (2012);Piemonte e Valle dAosta;cheFare 1 (2012);Associazione;ARTIPLAS, RESTAURO, WEB
147-cheFare 1 (2012);Veneto;cheFare 1 (2012);Associazione culturale;CINEMA, SOCIOLOG
148-cheFare 1 (2012);Lombardia;cheFare 1 (2012);S.r.l.;SOCIALNE, VIDEO
149-cheFare 1 (2012);Emilia Romagna;cheFare 1 (2012);Associazione di Promozione Sociale/Consorzio di cooperative sociali;MUSICA, WEB
150-cheFare 1 (2012);Lombardia;cheFare 1 (2012);S.n.c.;DESIGN
151-cheFare 1 (2012);Emilia Romagna;cheFare 1 (2012);Associazione di Promozione Sociale/Consorzio di cooperative sociali;ANTROPOL, PEDAGOGI, SOCIOLOG
152-cheFare 1 (2012);Lazio;cheFare 1 (2012);S.r.l.;EDITORIA, PEDAGOGI
153-cheFare 1 (2012);Toscana;cheFare 1 (2012);Associazione culturale;CINEMA, MUSICA, WEB
154-cheFare 1 (2012);Non rilevabile;cheFare 1 (2012);S.r.l.;EDITORIA, LINGUE_S, WEB
155-cheFare 1 (2012);Non rilevabile;cheFare 1 (2012);Associazione di Promozione Sociale/Consorzio di cooperative sociali;APP_SOFT, FOTOGRAF, TURISMO
156-cheFare 1 (2012);Toscana;cheFare 1 (2012);Associazione di Promozione Sociale/Consorzio di cooperative sociali;EDITORIA, INTEG_SO
