ID_UNI;PROV;BANDO;FORMA_GIU;Ambito;T
233-Ora! 2016;Alessandria;Ora! 2016;Ente locale;ARTI_VIS, AUDIOVIS, SPETTAC;
234-Ora! 2016;Torino;Ora! 2016;Associazione;AUDIOVIS, DID_FORM;T_GIOVAN, T_SETT
235-Ora! 2016;Torino;Ora! 2016;Associazione;ARCHITET, ARTI_VIS, AUDIOVIS, PATRIMON, WEB;
236-Ora! 2016;Novara;Ora! 2016;Fondazione;APP_SOFT, ARTI_VIS, PATRIMON, WEB;
237-Ora! 2016;Cuneo;Ora! 2016;Associazione;ARTI_VIS, AUDIOVIS, SPETTAC, WEB;T_SETT
238-Ora! 2016;Torino;Ora! 2016;Associazione;ARTI_VIS, AUDIOVIS, CONCORSO, EVENTI;T_GIOVAN
239-Ora! 2016;Altra provincia ligure;Ora! 2016;Associazione;CONCORSO, EVENTI, FESTIVAL, SPETTAC;
240-Ora! 2016;Cuneo;Ora! 2016;Associazione;ARTI_VIS, CONCORSO, DESIGN, SPAZI;T_SETT
241-Ora! 2016;Altra provincia italiana;Ora! 2016;Associazione;AUDIOVIS, EDITORIA, SPETTAC;
242-Ora! 2016;Torino;Ora! 2016;Cooperativa;AUDIOVIS, TURISMO;
243-Ora! 2016;Torino;Ora! 2016;Associazione;SPETTAC, ALTRO;T_SETT
244-Ora! 2016;Torino;Ora! 2016;Associazione;ARTI_VIS, AUDIOVIS, SOC_NET;
245-Ora! 2016;Altra provincia piemontese;Ora! 2016;Ente locale;ARTI_VIS, AUDIOVIS, CONCORSO, DID_FORM, EDITORIA, EVENTI, FESTIVAL, SPETTAC;T_GIOVAN, T_SETT
246-Ora! 2016;Torino;Ora! 2016;Ente locale;AUDIOVIS, ENOGASTR, SPETTAC;
247-Ora! 2016;Torino;Ora! 2016;Associazione;SPETTAC;
248-Ora! 2016;Altra provincia italiana;Ora! 2016;Associazione;ARTI_VIS;
249-Ora! 2016;Altra provincia italiana;Ora! 2016;Associazione;ARTI_VIS, AUDIOVIS;
