ID;ID_PROG;PROV;TEAM;EDIZIONE;Ambito;AGIURID
255-1;255;Milano;Non applicabile;iC2;AM_ALTRO, FUNDRAIS, PRODUZ;No Profit
256-1;256;Altra provincia italiana;2;iC2;ARTI_VIS, PATRIMON, FRUIZ, PROMOZ; 
256-2;256;Non rilevabile; ;iC2;; 
256-3;256;Non rilevabile; ;iC2;; 
257-1;257;Milano;Non applicabile;iC2;ARTI_VIS, PATRIMON, FRUIZ, PROMOZ;For Profit
258-1;258;Milano;Non applicabile;iC2;PATRIMON, AM_ALTRO, FRUIZ, PARTECIP;No Profit
1-1;1;Brescia;4;iC3;ARCHITET, PATRIMON, FRUIZ, PARTECIP; 
1-2;1;Non rilevabile; ;iC3;; 
1-3;1;Non rilevabile; ;iC3;; 
1-4;1;Non rilevabile; ;iC3;; 
1-5;1;Non rilevabile; ;iC3;; 
2-1;2;Milano;2;iC3;DESIGN, PATRIMON, PARTECIP, PRODUZ; 
2-2;2;Non rilevabile; ;iC3;; 
2-3;2;Non rilevabile; ;iC3;; 
3-1;3;Monza e della Brianza;1;iC3;ARTIGIAN, PATRIMON, FRUIZ, PROMOZ; 
3-2;3;Non rilevabile; ;iC3;; 
4-1;4;Milano;3;iC3;PATRIMON, FRUIZ, PARTECIP; 
4-2;4;Non rilevabile; ;iC3;; 
4-3;4;Non rilevabile; ;iC3;; 
4-4;4;Non rilevabile; ;iC3;; 
5-1;5;Milano;1;iC3;ARTI_VIS, PATRIMON, FRUIZ; 
5-2;5;Non rilevabile; ;iC3;; 
6-1;6;Monza e della Brianza;3;iC3;ARTI_VIS, PATRIMON, FRUIZ, PROMOZ; 
6-2;6;Non rilevabile; ;iC3;; 
6-3;6;Non rilevabile; ;iC3;; 
6-4;6;Non rilevabile; ;iC3;; 
7-1;7;Bergamo;1;iC3;ARTI_VIS, SPETTAC, DIST_COM, FRUIZ; 
7-2;7;Non rilevabile; ;iC3;; 
8-1;8;Milano;1;iC3;ARTIGIAN, FRUIZ, PRODUZ; 
8-2;8;Non rilevabile; ;iC3;; 
9-1;9;Milano;2;iC3;ARTI_VIS, PATRIMON, PARTECIP; 
9-2;9;Non rilevabile; ;iC3;; 
9-3;9;Non rilevabile; ;iC3;; 
10-1;10;Milano;1;iC3;SPETTAC, AM_ALTRO, EDUCAZ, PROMOZ; 
10-2;10;Non rilevabile; ;iC3;; 
11-1;11;Milano;2;iC3;PATRIMON, FRUIZ, PROMOZ; 
11-2;11;Non rilevabile; ;iC3;; 
11-3;11;Non rilevabile; ;iC3;; 
12-1;12;Bergamo;1;iC3;AM_ALTRO, EDUCAZ, RIC_FORM; 
12-2;12;Non rilevabile; ;iC3;; 
13-1;13;Milano;2;iC3;ARTI_VIS, PATRIMON, FRUIZ, PRODUZ; 
13-2;13;Non rilevabile; ;iC3;; 
13-3;13;Non rilevabile; ;iC3;; 
14-1;14;Altra provincia italiana;1;iC3;ARTI_VIS, PATRIMON, FRUIZ, PARTECIP; 
14-2;14;Non rilevabile; ;iC3;; 
15-1;15;Bergamo;3;iC3;EDITORIA, PATRIMON, EDUCAZ, FRUIZ; 
15-2;15;Non rilevabile; ;iC3;; 
15-3;15;Non rilevabile; ;iC3;; 
15-4;15;Non rilevabile; ;iC3;; 
16-1;16;Milano;4;iC3;AUDIOVIS, AM_ALTRO, DIST_COM, FRUIZ; 
16-2;16;Non rilevabile; ;iC3;; 
16-3;16;Non rilevabile; ;iC3;; 
16-4;16;Non rilevabile; ;iC3;; 
16-5;16;Non rilevabile; ;iC3;; 
17-1;17;Milano;5;iC3;AUDIOVIS, FRUIZ, PROMOZ; 
17-2;17;Non rilevabile; ;iC3;; 
17-3;17;Non rilevabile; ;iC3;; 
17-4;17;Non rilevabile; ;iC3;; 
17-5;17;Non rilevabile; ;iC3;; 
17-6;17;Non rilevabile; ;iC3;; 
18-1;18;Milano;4;iC3;ARTI_VIS, EDITORIA, DIST_COM, EDUCAZ; 
18-2;18;Non rilevabile; ;iC3;; 
18-3;18;Non rilevabile; ;iC3;; 
18-4;18;Non rilevabile; ;iC3;; 
18-5;18;Non rilevabile; ;iC3;; 
19-1;19;Milano;1;iC3;ARCH_BIB, EDITORIA, FRUIZ, PROMOZ; 
19-2;19;Non rilevabile; ;iC3;; 
20-1;20;Milano;1;iC3;ARCHITET, PATRIMON, FRUIZ, PROMOZ; 
20-2;20;Non rilevabile; ;iC3;; 
21-1;21;Milano;3;iC3;AUDIOVIS, PATRIMON, PRODUZ; 
21-2;21;Non rilevabile; ;iC3;; 
21-3;21;Non rilevabile; ;iC3;; 
21-4;21;Non rilevabile; ;iC3;; 
22-1;22;Monza e della Brianza;1;iC3;AUDIOVIS, PATRIMON, FRUIZ, PARTECIP; 
22-2;22;Non rilevabile; ;iC3;; 
23-1;23;Altra provincia italiana;1;iC3;ARTIGIAN, PATRIMON, FRUIZ, PROMOZ; 
23-2;23;Non rilevabile; ;iC3;; 
24-1;24;Milano;1;iC3;ARCHITET, ARTI_VIS, FRUIZ, PROMOZ; 
24-2;24;Non rilevabile; ;iC3;; 
25-1;25;Brescia;2;iC3;ARTI_VIS, ARTIGIAN; 
25-2;25;Non rilevabile; ;iC3;; 
25-3;25;Non rilevabile; ;iC3;; 
26-1;26;Milano;1;iC3;AUDIOVIS, EDITORIA, FRUIZ, PRODUZ; 
26-2;26;Non rilevabile; ;iC3;; 
27-1;27;Milano;2;iC3;ARCH_BIB, EDITORIA, FRUIZ, PARTECIP; 
27-2;27;Non rilevabile; ;iC3;; 
27-3;27;Non rilevabile; ;iC3;; 
28-1;28;Altra provincia italiana;2;iC3;ARTI_VIS, SPETTAC, EDUCAZ, PARTECIP; 
28-2;28;Non rilevabile; ;iC3;; 
28-3;28;Non rilevabile; ;iC3;; 
29-1;29;Altra provincia italiana;1;iC3;ARTI_VIS, DESIGN, FUNDRAIS, PRODUZ; 
29-2;29;Non rilevabile; ;iC3;; 
30-1;30;Altra provincia italiana;2;iC3;AUDIOVIS, PATRIMON, PARTECIP, PROMOZ; 
30-2;30;Non rilevabile; ;iC3;; 
30-3;30;Non rilevabile; ;iC3;; 
31-1;31;Brescia;2;iC3;AM_ALTRO, PROMOZ, RIC_FORM; 
31-2;31;Non rilevabile; ;iC3;; 
31-3;31;Non rilevabile; ;iC3;; 
32-1;32;Pavia;3;iC3;ARTI_VIS, AM_ALTRO, EDUCAZ, FRUIZ; 
32-2;32;Non rilevabile; ;iC3;; 
32-3;32;Non rilevabile; ;iC3;; 
32-4;32;Non rilevabile; ;iC3;; 
33-1;33;Altra provincia italiana;1;iC3;ARCHITET, ARTI_VIS, FRUIZ, PARTECIP; 
33-2;33;Non rilevabile; ;iC3;; 
34-1;34;Altra provincia italiana;1;iC3;ARTI_VIS, AUDIOVIS, RIC_FORM; 
34-2;34;Non rilevabile; ;iC3;; 
35-1;35;Altra provincia italiana;1;iC3;EDITORIA, PATRIMON, EDUCAZ, RIC_FORM; 
35-2;35;Non rilevabile; ;iC3;; 
36-1;36;Altra provincia italiana;3;iC3;ARTI_VIS, PATRIMON, FRUIZ, PARTECIP; 
36-2;36;Non rilevabile; ;iC3;; 
36-3;36;Non rilevabile; ;iC3;; 
36-4;36;Non rilevabile; ;iC3;; 
37-1;37;Milano;3;iC3;ARTI_VIS, ARTIGIAN, FRUIZ; 
37-2;37;Non rilevabile; ;iC3;; 
37-3;37;Non rilevabile; ;iC3;; 
37-4;37;Non rilevabile; ;iC3;; 
38-1;38;Como;2;iC3;PATRIMON, AM_ALTRO, FRUIZ, PROMOZ; 
38-2;38;Non rilevabile; ;iC3;; 
38-3;38;Non rilevabile; ;iC3;; 
39-1;39;Milano;3;iC3;AM_ALTRO, PROMOZ; 
39-2;39;Non rilevabile; ;iC3;; 
39-3;39;Non rilevabile; ;iC3;; 
39-4;39;Non rilevabile; ;iC3;; 
40-1;40;Altra provincia italiana;2;iC3;EDITORIA, PATRIMON, EDUCAZ, FRUIZ; 
40-2;40;Non rilevabile; ;iC3;; 
40-3;40;Non rilevabile; ;iC3;; 
41-1;41;Brescia;1;iC3;ARTI_VIS, PATRIMON, PROMOZ; 
41-2;41;Non rilevabile; ;iC3;; 
42-1;42;Milano;3;iC3;ARTI_VIS, PATRIMON, DIST_COM, PARTECIP; 
42-2;42;Non rilevabile; ;iC3;; 
42-3;42;Non rilevabile; ;iC3;; 
42-4;42;Non rilevabile; ;iC3;; 
43-1;43;Altra provincia italiana;1;iC3;EDITORIA, PATRIMON, FRUIZ, PROMOZ; 
43-2;43;Non rilevabile; ;iC3;; 
44-1;44;Milano;1;iC3;SPETTAC, FUNDRAIS, PROMOZ; 
44-2;44;Non rilevabile; ;iC3;; 
45-1;45;Altra provincia italiana;4;iC3;AM_ALTRO, PROMOZ, RIC_FORM; 
45-2;45;Non rilevabile; ;iC3;; 
45-3;45;Non rilevabile; ;iC3;; 
45-4;45;Non rilevabile; ;iC3;; 
45-5;45;Non rilevabile; ;iC3;; 
46-1;46;Monza e della Brianza;1;iC3;EDITORIA, DIST_COM, PROMOZ; 
46-2;46;Non rilevabile; ;iC3;; 
47-1;47;Altra provincia italiana;4;iC3;ARTIGIAN, AUDIOVIS, DIST_COM, PARTECIP; 
47-2;47;Non rilevabile; ;iC3;; 
47-3;47;Non rilevabile; ;iC3;; 
47-4;47;Non rilevabile; ;iC3;; 
47-5;47;Non rilevabile; ;iC3;; 
48-1;48;Milano;4;iC3;PATRIMON, SPETTAC, FRUIZ, PROMOZ; 
48-2;48;Non rilevabile; ;iC3;; 
48-3;48;Non rilevabile; ;iC3;; 
48-4;48;Non rilevabile; ;iC3;; 
48-5;48;Non rilevabile; ;iC3;; 
49-1;49;Milano;3;iC3;ARTI_VIS, ARTIGIAN, EDUCAZ; 
49-2;49;Non rilevabile; ;iC3;; 
49-3;49;Non rilevabile; ;iC3;; 
49-4;49;Non rilevabile; ;iC3;; 
50-1;50;Milano;4;iC3;PATRIMON, SPETTAC, PARTECIP, PROMOZ; 
50-2;50;Non rilevabile; ;iC3;; 
50-3;50;Non rilevabile; ;iC3;; 
50-4;50;Non rilevabile; ;iC3;; 
50-5;50;Non rilevabile; ;iC3;; 
51-1;51;Cremona;4;iC3;ARCH_BIB, SPETTAC, CONSERV, PARTECIP; 
51-2;51;Non rilevabile; ;iC3;; 
51-3;51;Non rilevabile; ;iC3;; 
51-4;51;Non rilevabile; ;iC3;; 
