EDIZIONE,ID.PROG,ID.TEAM,PROV,ETA.CL,SESSO,TITSTUD,LAUREA,PROF,SETPROF,MODPART,TEAM,AGIURID,T.PROG,AMBITO1,AMBITO2,ARCHITET,ARCH.BIB,ARTI.VIS,ARTIGIAN,AUDIOVIS,DESIGN,EDITORIA,PATRIMON,SPETTAC,AM.ALTRO,REPLICA,REP.DOVE,REP.SETT,REP.SE.Q,AVANZAM,AVANZ.D,IMPATTO1,IMPATTO2,ACCESSO,CONSERV,DIST.COM,EDUCAZ,FRUIZ,FUNDRAIS,PARTECIP,PRODUZ,PROMOZ,RIC.FORM,INF.PROG1,INF.PROG2,CARENZA1,CARENZA2,CARENZA3,ARTISTI,TURISTI,STUDENTI,FAMIGLIE,SCUO.UNI,APPASS,OPERAT,PROF.CRE,IST.CULT,PA,IMPRESE,TAR.ALTR,FILTR.PR,filter_$
iC1,8,10,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Specialisti in discipline artistico-espressive,Non rilevabile, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Non selezionato,Selected
iC1,8,11,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Specialisti in discipline artistico-espressive,Non rilevabile, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Non selezionato,Selected
iC1,8,12,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,"Specialisti in discipline linguistiche, letterarie e documentali",Non rilevabile, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Non selezionato,Selected
iC1,8,13,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,"Specialisti in discipline linguistiche, letterarie e documentali",Non rilevabile, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Non selezionato,Selected
iC1,9,Proponente,Milano,35-39 anni,Femmina,Laurea,Scienze politiche e sociali,"Legislatori, imprenditori e alta dirigenza",Attività manifatturiere; commercio all'ingrosso e al dettaglio; attività dei servizi di alloggio e di ristorazione,A titolo personale,Non applicabile,For Profit,Attività,"Spettacolo dal vivo (teatro, danza, musica live)",Non applicabile, , , , , , , , , , ,Idea completamente nuova,Non applicabile,Non applicabile,Non applicabile,Sperimentazione,Italia,Produzione,Fruizione, , , , , , , , , , ,Welfare/sociale,Cultura,Risorse economiche,Networking,Non applicabile, , , , , , , , , , , , ,Selezionato,Selected
iC1,10,Proponente,Milano,40-44 anni,Maschio,Laurea,Ingegneria civile e Architettura,"Architetti, pianificatori, paesaggisti e specialisti del recupero e della conservazione del territorio","Attività di biblioteche, archivi, musei ed altre attività culturali",In rappresentanza di un team informale,8,No Profit,Attività,Design (progettazione di oggetti),Non applicabile, , , , , , , , , , ,Idea completamente nuova,Non applicabile,Non applicabile,Non applicabile,Concept,Non applicabile,Produzione,Fruizione, , , , , , , , , , ,Cultura,Non applicabile,Progettazione,Non applicabile,Non applicabile, , , , , , , , , , , , ,Selezionato,Selected
iC1,10,2,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Specialisti in discipline artistico-espressive,Non rilevabile, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Non selezionato,Selected
iC1,10,3,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Tecnici dei servizi culturali,Non rilevabile, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Non selezionato,Selected
iC1,10,4,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,"Architetti, pianificatori, paesaggisti e specialisti del recupero e della conservazione del territorio",Non rilevabile, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Non selezionato,Selected
iC1,10,5,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Altre professioni,Non rilevabile, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Non selezionato,Selected
iC1,10,6,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Tecnici di apparecchiature ottiche e audio-video,Non rilevabile, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Non selezionato,Selected
iC1,10,7,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Tecnici di apparecchiature ottiche e audio-video,Non rilevabile, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Non selezionato,Selected
iC1,10,8,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Specialisti in discipline artistico-espressive,Non rilevabile, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Non selezionato,Selected
iC1,10,9,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Altre professioni,Non rilevabile, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Non selezionato,Selected
iC1,11,Proponente,Milano,40-44 anni,Femmina,Laurea,Scienze politiche e sociali,"Specialisti delle scienze gestionali, commerciali e bancarie",Attività di consulenza gestionale,In rappresentanza di un team informale,1,For Profit,Attività,"Patrimonio (beni culturali, archeologia, paesaggio)",Non applicabile, , , , , , , , , , ,Idea già realizzata altrove/simile a qualcosa di già esistente,Estero,Stesso ambito,Non applicabile,Progettazione,Non rilevabile,Fruizione,Non applicabile, , , , , , , , , , ,Cultura,Non applicabile,Progettazione,Marketing,Non applicabile, , , , , , , , , , , , ,Selezionato,Selected
iC1,11,2,Non rilevabile,Non rilevabile,Non rilevabile,Laurea,Scienze economiche e statistiche,Non rilevabile,Non rilevabile, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Non selezionato,Selected
iC1,12,Proponente,Bergamo,35-39 anni,Femmina,Laurea,"Scienze dell’antichità, filologico-letterarie e storico-artistiche",Specialisti in discipline artistico-espressive,"Attività di biblioteche, archivi, musei ed altre attività culturali",A titolo personale,Non applicabile,No Profit,Attività,"Patrimonio (beni culturali, archeologia, paesaggio)","Arti visive (pittura, scultura, fotografia, arti plastiche)", , , , , , , , , , ,Idea già realizzata altrove/simile a qualcosa di già esistente,Estero,Stesso ambito,Non applicabile,Diffusione & sviluppo,Estero,Fruizione,Non applicabile, , , , , , , , , , ,Cultura,Non applicabile,Competenze,Networking,Risorse economiche, , , , , , , , , , , , ,Selezionato,Selected
